DCRAINTERNALNUMBER,ISSUE_DATE,PERMIT_ID,PERMIT_TYPE_NAME,PERMIT_SUBTYPE_NAME,PERMIT_CATEGORY_NAME,APPLICATION_STATUS_NAME,FULL_ADDRESS,DESC_OF_WORK,SSL,ZONING,PERMIT_APPLICANT,FEE_TYPE,FEES_PAID,OWNER_NAME,LASTMODIFIEDDATE,CITY,STATE,LATITUDE,LONGITUDE,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
11108705,2/3/2010 12:00:00 AM,B108705,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,1721 4TH ST NW,"INTERIOR RENOVATIONS AS PER PLANS AND ADD NEW THIRD FLOOR WITH ALL MECHANICAL, ELECTRICAL & PLUMBING. ALSO PROPOSED ADDITION TO AN EXISTING 2-FLOOR & CELLAR FLAT TO A 3-FLOOR & CELLAR FLAT PRE BZA # 17934 - GRANTED FOR 4 VARIANCES ON 11/18/09.",,,YAW  AGIPONG (AFO),822.00 (ALTREPAIR); 822.00 (ALTREPAIR); 46.70 (GREENBLDG); 70.00 (HIST),869,MR. BENZAD HOSSEINKHANI,5/1/2012 5:20:37 AM,WASHINGTON,DC,38.913311766697,-77.01596260903370,20001,237605,80315,80315,5,5C,5C01,FIFTH,501,21,NONE,NONE,NONE,NONE
11109182,12/10/2008 12:00:00 AM,B109182,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,1647 A 11TH PL NE,"NEW CONSTRUCTION OF TWO FAMILY SEMI DETACHED, NEW ELECTRICAL, MECHANICAL, PLUMBING AS PER PLANS",4054    0093,R-4,MOHAMMAD  SIKDER (AFO),7.20 (NEW2); 980.00 (NEW1); 980.00 (NEW1); 100.00 (HIST),987,JOHN L DAVIS,5/1/2012 5:20:37 AM,,,0,0,,-100,-100,348291,,NONE,NONE,,,NONE,NONE,NONE,NONE,NONE
11109219,4/7/2009 12:00:00 AM,B109219,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,44 BATES ST NW,CONVERT SINGLE FAMILY HOUSE TO 2 FAMILY FLAT. EXISTING.,,,ZEWDU  MAILEY (AFO),33.00 (HIST); 19.50 (GREENBLDG); 297.00 (ALTREPAIR),350,ALEX ONYENWE,5/1/2012 5:20:38 AM,WASHINGTON,DC,38.91021386419030,-77.01064008569460,20001,236826,80149,80149,5,5C,5C01,FIFTH,501,21,NONE,NONE,NORTH CAPITOL ST,NONE
11109233,2/4/2010 12:00:00 AM,B109233,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,2105-2107 10TH ST NW,INTERIOR DEMOLITION OF EXISTING 3N STORY BRICK BUILDIDNG AND PROPOSED INTERIOR MODIFICATION CONVERTING CHURCH TO OFFICE SPACE,0358    0802,,MARIO  PEREZ (AFO),305.11 (GREENBLDG); 3974.00 (ADDALTREP); 3974.00 (ADDALTREP); 750.00 (HIST),5029,2105 10TH STREET NW LLC,5/1/2012 5:20:37 AM,WASHINGTON,DC,38.91843206549870,-77.02575994753970,20001,284172,122658,122658,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
11109742,8/17/2009 12:00:00 AM,B109742,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,4918 CENTRAL AVE NE,CONVERT RETAIL (SHOE STORE) TO HAIR BRAIDING.,,,SERI  GBAGBO (AFO),33.00 (HIST); 2.21 (GREENBLDG); 37.00 (ALTREPAIR),72,IN SUN CHUNG,5/1/2012 5:20:37 AM,WASHINGTON,DC,38.89062562341810,-76.93217805739130,20019,155661,60290,60290,7,7C,7C03,SIXTH,608,33,NONE,NONE,NONE,NONE
11110723,11/3/2010 12:00:00 AM,B110723,CONSTRUCTION,ADDITION,NA,PERMIT ISSUED,2609 36TH PL NW,NEW 2-STORY AND CELLAR REAR ADDITION TO SFD.  MAINTAIN EXISTING 5FT SIDE YARD SETBACK BETWEEN THE NORTH LOT LINE AND THE EXISTING BUILDING LINE.,,,CATHIE  HARRISON (AFO),1765.16 (ADDALTREP); 1765.16 (ADDALTREP); 106.50 (GREENBLDG); 176.52 (AAREFEE); 200.00 (HIST),2048,ROBERTS,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.92437475559530,-77.07176943191690,20007,223984,67310,67310,3,3C,3C08,SECOND,204,14,NONE,NONE,NONE,NONE
11111267,4/17/2009 12:00:00 AM,B111267,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,4908 QUARLES ST NE,"NEW CONSTRUCTION -3 STORIES SFD BUILDING WITH DECK ELECTRICAL, PLUMBING, AND MECHANICAL AS PER PLANS",5171    0035,,TAHER  KHATIB (AFO),75.00 (HIST); 825.00 (ALTREPAIR); 825.00 (ALTREPAIR); 6.00 (GREENBLDG),831,UNITED CAPITOL CORPORATION,5/1/2012 5:20:38 AM,WASHINGTON,DC,38.90873151017140,-76.93091575868020,20019,306516,379403,339084,7,7C,7C07,SIXTH,602,31,NONE,NONE,NONE,NONE
11112177,1/7/2009 12:00:00 AM,B112177,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,1600 NEW HAMPSHIRE AVE NW,"RENOVATION OF EXISTING CHANCERY-UPGRADE OF ELECTRICAL, HAVC AND PLUMBING, REPAIR OF FINISHES, ADD HC RAMP WITH FLOOR GRILLE AND NEW 8' HIGH SCREEN WALL AT REAR OF (E) BUILIDNG.  NO CHANGE OF OWNERSHIP, OCCUPANCY, OR USE.",0134,,ERIC MORRISON/J  MORRISON ARCHITECTS (AFO),49030.00 (ALTREPAIR); 49030.00 (ALTREPAIR); 2665.00 (GREENBLDG); 2000.00 (HIST),51695,REPUBLIC OF ARGENTINA C/O THE E,5/1/2012 5:20:38 AM,WASHINGTON,DC,38.91138127607610,-77.04233678169370,20009,241243,84193,84193,2,2B,2B03,THIRD,301,6,NONE,NONE,NONE,NONE
11112188,12/15/2008 12:00:00 AM,B112188,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,837 FLORIDA AVE NE,RENOVATION OF INTERIOR WITH 2 STORY REPLACEMENT OFF  BACK OF HOUSE WITH BASEMENT UNDERNEATH IN KIND.,0908,,ALPHONSO  BERKE (AFO),980.00 (ALTREPAIR); 980.00 (ALTREPAIR); 65.00 (GREENBLDG); 50.00 (HIST),1045,LARRY BURKE,5/1/2012 5:20:37 AM,WASHINGTON,DC,38.90417112674830,-76.994027931621,20002,81262,52581,52581,6,6A,6A01,FIRST,104,25,NONE,NONE,NONE,NONE
11112354,2/4/2009 12:00:00 AM,B112354,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,4400 MASSACHUSETTS AVE NW,NEW SIS (SCHOOL OF INTERNATIONAL IENCE).BASE BUILDING - W/ZC ORDER -05-27) PAIR OF A.V. CAMPUS) Z C CASE 5 27 5/4/06.NEW CONSTRUCTION,,,MARIE  SIMONE (AFO),82209.94 (ALTREPAIR); 82209.94 (ALTREPAIR); 561.37 (GREENBLDG); 2000.00 (HIST),82771,AMERICAN UNIVERSITY,5/1/2012 5:20:38 AM,WASHINGTON,DC,38.93908175542180,-77.08841481823950,20016,223994,67320,67320,3,3D,3D02,SECOND,202,13,NONE,NONE,NONE,NONE
11112379,4/9/2009 12:00:00 AM,B112379,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,1410 GOOD HOPE RD SE,"USE CHANGE. CONVERT PET SHOP TO OFFICE SPACE. TO INCLUDE MECHANICAL, PLUMBING, ELECTRICAL AND FIRE PROTECTION SYSTEMS. NEW 2ND STORY DECK AND NEW 2ND STORY REAR STAIR",,,RICHARD  KING (AFO),45.50 (GREENBLDG); 795.00 (ADDITION); 35.00 (HIST),876,WEBSTER INVESTMENT GROUP,5/1/2012 5:20:38 AM,WASHINGTON,DC,38.86684891644010,-76.98472440419760,20020,64777,39892,39892,8,8A,8A03,SIXTH,607,34,NONE,NONE,NONE,NONE
11112435,4/29/2009 12:00:00 AM,B112435,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,1337 VALLEY PL SE,NEW 2-STORY SINGLE FAMILY ROW DWELLING,,,TAHER  KHATIB (AFO),75.00 (HIST); 987.00 (NEW1); 987.00 (NEW1); 7.08 (NEW2),1069,DISTRICT PROPERTIES,5/1/2012 5:20:38 AM,WASHINGTON,DC,38.86287827751810,-76.98778094065920,20020,306694,265076,265263,8,8A,8A03,SEVENTH,701,28,NONE,NONE,NONE,NONE
11112492,9/2/2009 12:00:00 AM,B112492,CONSTRUCTION,NEW BUILDING,NA,COMPLETED,1717 K ST NW,"NEW OFFICE & RETAIL BUILDING WITH THIRTEEN (13) ABOVE GRADE LEVELS (TWELVE (12) FLOORS PLUS ONE (1) PENTHOUSE LEVEL), AND FOUR (4) BELOW GRADE PARKING LEVELS, B2 THRU B5.  FITNESS CENTER AT LEVEL B1 AND RETAIL AT LEVEL 1.",0163    0056,C-4,"JEFF  JEFFREY S. OWENS, OW (AFO)",137703.79 (NEW1); 137703.79 (NEW1); 2000.00 (FILINGFEE); 2000.00 (HIST),141704,1000 CONN AVE ASSOCIATES LLC,5/1/2012 5:20:38 AM,WASHINGTON,DC,38.90283984762170,-77.04025044446510,20006,298465,134152,134152,2,2B,2B06,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
11113002,2/23/2009 12:00:00 AM,B113002,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,2208 HALL PL NW,GARAGE IN REAR OF PROPERTY PASS THROUGH UNDER PUBLIC ALLEY.,,,TIM  ROBINSON (AFO),195.00 (GREENBLDG); 2880.00 (ALTREPAIR); 150.00 (HIST),3225,TIM ROBINSON,5/1/2012 5:20:38 AM,WASHINGTON,DC,38.91891883193390,-77.07196666071690,20007,224622,67947,67947,3,3B,3B02,SECOND,204,14,NONE,NONE,NONE,NONE
11113079,8/25/2011 12:00:00 AM,B113079,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,3036 MACOMB ST NW,"ALL NEW SFD, RETAINING WALLS AND PROJECTION",2084     0030,R-1-A,MARY  CLUTE (AFO),134.80 (GREENBLDG); 105.50 (AAREFEE); 1055.04 (ALTREPAIR); 1055.04 (ALTREPAIR); 966.90 (HIST),1295,STEVEN ZUCKERMAN,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.93329680792540,-77.06125413668830,20008,307246,445030,382048,3,3C,3C09,SECOND,204,15,NONE,NONE,NONE,NONE
11113080,8/25/2011 12:00:00 AM,B113080,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,3038 MACOMB ST NW,"ALL NEW SFD, RETAINING WALLS AND PROJECTION",2084     0031,R-1-B,MARY  CLUTE (AFO),860.00 (HIST); 122.30 (GREENBLDG); 974.50 (ALTREPAIR); 974.50 (ALTREPAIR); 65.00 (REVISION); 103.95 (AAREFEE),1266,STEVEN ZUCKERMAN,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.93329668419820,-77.06148976760010,20008,307247,445029,382047,3,3C,3C09,SECOND,204,15,NONE,NONE,NONE,NONE
11113343,2/9/2010 12:00:00 AM,B113343,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,1025 PARK RD NW,RENOVATION OF EXISTING 8-UNIT APARTMENT INCLUDING INTERIOR ALTERATIONS AND REPAIRS; NEW ROOFED FRONT PORCH; HANDICAPPED LIFT; HANDICAPPED RAMPWAY IN FRONT AND TRASH STORAGE IN FRONT.  NO PARKING REQUIRED.  POD,,,RANDALLS  MARSHALL (AFO),850.00 (HIST); 16280.00 (ALTREPAIR); 16280.00 (ALTREPAIR); 1105.00 (GREENBLDG),17385,PARK ROAD COMMUNITY CHURCH,5/1/2012 5:20:37 AM,WASHINGTON,DC,38.93222132494110,-77.02790368354370,20010,230973,73960,73960,1,1A,1A07,THIRD,302,2,NONE,NONE,NONE,NONE
11114275,10/1/2008 12:00:00 AM,B114275,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,5371 HAYES ST NE,NEW SINGLE FAMILY DWELLING.,5209    0030,,MURIEL  FRANCIS (AFO),125.00 (HIST); 642.55 (NEW1); 642.55 (NEW1); 16.00 (NEW2); 125.00 (FILINGFEE),909,CHOICE FINANCIAL CORPORATION,5/1/2012 5:20:38 AM,WASHINGTON,DC,38.899175833071,-76.92248508705180,20019,9507,7022,7022,7,7C,7C06,SIXTH,608,31,NONE,NONE,NONE,NONE
11114420,10/1/2008 12:00:00 AM,B114420,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,4412 KANSAS AVE NW,"NEW 24' X 19'-9" REAR ADDITION AND 4 X 19'9" 1ST FLOOR DECK W/STEPS, INTERIOR RENOVATION WITH  ELCETRICAL , MECHANICAL AND PLUMBING AND NEW REAR RETAINING WALL WITH STEPS BELOW GRADE.",,,MOHAMED  KAMARA (AFO),50.00 (HIST); 712.64 (ADDALTREP); 712.64 (ADDALTREP); 28.20 (GREENBLDG),741,PATRICE ANDREWS,5/1/2012 5:20:38 AM,WASHINGTON,DC,38.94452358940880,-77.02428800031120,20011,252398,94937,94937,4,4C,4C07,FOURTH,407,18,NONE,NONE,NONE,NONE
11114857,6/24/2009 12:00:00 AM,B114857,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,508 M ST NW,"INTERIOR ALTERATIONS AND REPAIR WITHIN THE EXISTING GFA OF THE THIRD FLOOR. REPLACEMENT IN KIND DOORS, WINDOWS, KITCHEN APPLIANCES, BATH ROOM FIXTURES, HVAC, & HWH UNITS ON THE BASEMENT, FIRST AND SECOND FLOORS.  (NO ADDITIONS OR ENALRGEMENTS OF EXISTING STRUCTURE, NO CHANGE IN USE).",,,YAW  AGIPONG (AFO),397.00 (ALTREPAIR); 397.00 (ALTREPAIR); 26.00 (GREENBLDG); 33.00 (HIST),456,YAW AGIPONG,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.90545300401220,-77.01936584715830,20001,238895,81865,81865,6,2C,2C04,THIRD,308,8,NONE,NONE,NONE,NONE
11115436,9/25/2008 12:00:00 AM,B115436,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,2239 RIDGE PL SE,"NEW CONSTRUCTION - SINGLE FAMILY HOUSE  - 3 STORIES, ELCTRICAL, PLUMBING, AND MECHNICAL AS PER PLANS",,,TAHER  KHATIB (AFO),75.00 (HIST); 15.00 (GREENBLDG); 837.00 (ALTREPAIR),927,DISTRICT PROPERTIES,5/1/2012 5:20:47 AM,WASHINGTON,DC,38.86874632798750,-76.97270167087730,20020,306246,444353,381531,8,8A,8A01,SEVENTH,701,34,NONE,NONE,NONE,NONE
11115760,9/19/2008 12:00:00 AM,B115760,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,909 NEW JERSEY AVE SE,TO CONSTRUCT A 455 SQ FT COMMERICAL  SWIMMING POOL - SWIMMING POOL ONLY -,,,OLYPIA  POOLS (AFO),33.00 (HIST); 636.20 (REVISION),669,JPI,5/1/2012 5:20:44 AM,WASHINGTON,DC,38.87886140847210,-77.00549282430640,20003,289057,127627,127627,6,6D,6D07,FIRST,106,27,NONE,NONE,NONE,CAPITOL RIVERFRONT BID
11115861,3/5/2010 12:00:00 AM,B115861,CONSTRUCTION,NEW BUILDING,NA,COMPLETED,2350 WASHINGTON PL NE,TO CONSTRUCT A 4 STORY MIXED USE BUILDING AND PARKING GARAGE. TPR.,,,DAMON  ELLIS (AFO),2000.00 (HIST); 535.73 (NEW2); 70324.45 (NEW1),72860,MID CITY URBAN LLC,5/1/2012 5:20:44 AM,WASHINGTON,DC,38.92057128514280,-76.99460647827130,20018,306519,444904,381926,5,5B,5B03,FIFTH,505,22,NONE,NONE,NONE,NONE
11115950,8/3/2011 12:00:00 AM,B115950,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,2535 BELMONT RD NW,NEW THREE STORY BASEMENT REAR ADDITION TO INCLUDE A PATIO AND UNDERGROUND PARKING GARAGE TO EXISTING CHANCERY PER BZA # 17328-A,,,STEVE  MERCHANT (AFO),5320.40 (FILINGFEE); 5320.40 (FILINGFEE); 48.15 (NEW2); 536.86 (NEWEFEE); 1471.32 (HIST),5905,GOVERNMENT OF OMAN,5/1/2012 5:20:51 AM,WASHINGTON,DC,38.91770627806290,-77.05607713841150,20008,218873,61664,61664,2,2D,2D01,SECOND,208,1,NONE,NONE,NONE,NONE
11115961,12/9/2008 12:00:00 AM,B115961,CONSTRUCTION,ADDITION ALTERATION REPAIR,NA,PERMIT ISSUED,5521 POTOMAC AVE NW,"NEW TWO (2) STORY ADDITION AND REMODEL EXISTING KITCHEN, BATHS, AND REMODEL ROOF DORMERS. WORK TO INCLUDE DEMOLITION, CONSTRUCTION, ELECTRICAL, MECHANICAL AND PLUMBING.",1449    0831,,JESSICA  BLAISD  RAPID PERMIT SERVICE (AFO),916.50 (GREENBLDG); 13425.00 (ADDALTREP); 705.00 (HIST),15047,JAY DUNN,5/1/2012 5:20:45 AM,WASHINGTON,DC,38.929232673925,-77.10989848029650,20016,268907,111750,111750,3,3D,3D04,SECOND,205,13,NONE,NONE,NONE,NONE
11116102,12/16/2008 12:00:00 AM,B116102,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,1841 6TH ST NW,"NEW WOODFRAME WITH BRICK VENEER, CONSTRUCTION OF A 3 STORY RESIDENTIAL BUILDING, HAVING (4) 2 BEDROOM CONDO UNITS.",0475    0056,,SAMI  ZOGHBI (AFO),489.33 (HIST); 18.48 (NEW2); 2281.80 (NEW1),2790,L'AUBERGE US INC.,5/1/2012 5:20:46 AM,WASHINGTON,DC,0,0,,0,376604,336223,,NONE,NONE,,,NONE,NONE,NONE,NONE,NONE
11116106,9/11/2009 12:00:00 AM,B116106,CONSTRUCTION,ALTERATION AND REPAIR,NA,READY FOR ISSUANCE,2816 CONNECTICUT AVE NW,"RENOVATE EXISTING ATTACHED FOUR HOMES TO SIXTEEN CONDOMINIUM UNITS. CONSTRUCT  UNDERGROUND PARKING STRUCTURE. CONSTRUCT NEW 7 STORY TOWER TO INCLUDE 23 CONDOMINIMUM UNITS. THE NEW TOWER WILL ADJOIN ONE OF THE EXISTING ATTACHED, INSTALL 7 STOP ELEVATOR IN NEW CONCRETE TOWER BUILDING PER PLANS.  INSTALL 2 STOP HANDICAP LIFT IN TOWNHOUSE BUILDING PER PLANS.",2107    0084,,BELLO BELO  ASSOCIATES (AFO),2000.00 (HIST); 4306.17 (GREENBLDG); 18393.37 (ALTREPAIR),24700,WOODLEY WARDMAN,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.92707117393080,-77.05392249193080,20008,219970,63344,63344,3,3C,3C02,SECOND,204,15,NONE,NONE,NONE,NONE
11116298,11/7/2008 12:00:00 AM,B116298,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,901 G ST NW,INTERIOR DEMOLTION AND RENOVATION OF 3638 SQ. FT. ON THE 2ND FLOOR OF THE EXISTING LIBRARY,,,CATHERINE  SONDERMAN (AFO),780.00 (GREENBLDG); 12030.00 (ALTREPAIR); 600.00 (HIST),13410,DC PUBLIC LIBRARY,5/1/2012 5:20:46 AM,WASHINGTON,DC,38.89869166370490,-77.024766254435,20001,239815,82446,82446,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
11116488,7/26/2010 12:00:00 AM,B116488,CONSTRUCTION,ADDITION,NA,COMPLETED,4218 12TH PL NE,1 STORY ADDITION TO REAR OF HOUSE.,3920    0090,R-2,ERNEST  BARBER (AFO),137.00 (ALTREPAIR); 137.00 (ALTREPAIR); 9.10 (GREENBLDG); 13.70 (AAREFEE); 33.00 (HIST),160,ERNEST BARBER,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.94164172951280,-76.98951475188140,20017,25116,14116,14116,5,5A,5A05,FOURTH,405,20,NONE,NONE,NONE,NONE
