NID,CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,LATITUDE,LONGITUDE,CITY,STATE,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
1134892,12033631,3/10/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,600 B/O HOBART PL NW,38.92788494615840,-77.02239650560480,WASHINGTON,DC,1,1B,1B10,THIRD,302,2,NONE,NONE,NONE,NONE
1134977,12033781,3/10/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,FENWICK ST NE & OKIE ST NE,38.91467835459460,-76.98468233555260,WASHINGTON,DC,5,5B,5B09,FIFTH,505,23,NONE,NONE,NONE,NONE
1135494,12034365,3/12/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:11:55 AM,3100 B/O QUESADA ST NW,38.96892957442790,-77.06219634344890,WASHINGTON,DC,4,3G,3G04,SECOND,201,10,NONE,NONE,NONE,NONE
1135540,12034441,3/12/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:12:05 AM,1800 B/O MINNESOTA AVE SE,38.86984509312710,-76.97818865655550,WASHINGTON,DC,8,8A,8A02,SIXTH,607,34,NONE,NONE,NONE,NONE
1136399,12035117,3/13/2012 12:00:00 AM,UNK,THEFT,1,4/30/2012 10:12:01 AM,1900 B/O OTIS ST NE,38.93508879577860,-76.977122576056,WASHINGTON,DC,5,5A,5A10,FIFTH,504,22,NONE,NONE,NONE,NONE
1136603,12032203,3/8/2012 12:00:00 AM,UNK,THEFT,1,4/30/2012 10:11:55 AM,4200 B/O CATHEDRAL AVE NW,38.93028354255170,-77.08302210569270,WASHINGTON,DC,3,3D,3D08,SECOND,205,14,NONE,NONE,NONE,NONE
1136790,12035695,3/14/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,1600 B/O RIGGS PL NW,38.91335304123010,-77.03749598248360,WASHINGTON,DC,2,2B,2B04,THIRD,301,6,NONE,NONE,NONE,NONE
1137979,12037053,3/17/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:12:01 AM,5400 B/O 31ST ST NW,38.96185172822620,-77.06226516517480,WASHINGTON,DC,4,3G,3G03,SECOND,201,10,NONE,NONE,NONE,NONE
1137982,12037055,3/17/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:12:01 AM,5400 B/O 31ST ST NW,38.96185172822620,-77.06226516517480,WASHINGTON,DC,4,3G,3G03,SECOND,201,10,NONE,NONE,NONE,NONE
1139732,12038859,3/21/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,14TH ST NW & PARKWOOD PL NW,38.93529616450110,-77.03273286218560,WASHINGTON,DC,1,1A,1A04,FOURTH,409,2,NONE,NONE,NONE,NONE
1141275,12040602,3/24/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,21ST ST NW & L ST NW,38.90374234574980,-77.04664659841610,WASHINGTON,DC,2,2A,2A02,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
1142049,12039684,3/22/2012 12:00:00 AM,UNK,ROBBERY,P/P,4/30/2012 10:11:55 AM,7TH ST NW & H ST NW,38.899813134797,-77.02191443423370,WASHINGTON,DC,2,2C,2C03,FIRST,102,8,NONE,NONE,NONE,DOWNTOWN BID
1142634,12042251,3/27/2012 12:00:00 AM,UNK,ROBBERY,ASSAULT W/INTENT,4/30/2012 10:11:55 AM,800 B/O 3RD ST NE,38.90076494828570,-77.002039070974,WASHINGTON,DC,6,6C,6C05,FIRST,104,25,NONE,NONE,NONE,NONE
1142836,12042525,3/28/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,700 B/O QUEBEC PL NW,38.93601307472250,-77.02273700552040,WASHINGTON,DC,1,1A,1A08,FOURTH,409,2,NONE,NONE,NONE,NONE
1142965,12042686,3/28/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,1700 B/O 4TH ST NW,38.91293806578390,-77.01616870129080,WASHINGTON,DC,5,5C,5C01,FIFTH,501,21,NONE,NONE,NONE,NONE
1143142,12042903,3/29/2012 12:00:00 AM,UNK,ADW,CLUB,4/30/2012 10:12:00 AM,5400 B/O SHERIER PL NW,38.92894871194880,-77.10710473556440,,,3,3D,3D04,SECOND,205,13,NONE,NONE,NONE,NONE
1143294,12043160,3/29/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,700 B/O 8TH ST SE,38.88027587534630,-76.99497653793590,WASHINGTON,DC,6,6B,6B03,FIRST,106,26,NONE,NONE,NONE,CAPITOL HILL BID
1143817,12043789,3/31/2012 12:00:00 AM,UNK,THEFT,TAGS,4/30/2012 10:11:55 AM,700 B/O MORTON ST NW,38.93190194706430,-77.02516973623140,WASHINGTON,DC,1,1A,1A09,THIRD,302,2,NONE,NONE,GEORGIA AVE NW,NONE
1143969,12043882,3/31/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,3200 B/O 22ND ST NE,38.93055972310080,-76.97424766555470,WASHINGTON,DC,5,5A,5A10,FIFTH,503,22,NONE,NONE,NONE,NONE
1144014,12043964,3/31/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,3800 B/O GEORGIA AVE NW,38.93814834301010,-77.024583328513,WASHINGTON,DC,4,4C,4C06,FOURTH,404,18,NONE,NONE,NONE,NONE
1144258,12044310,4/1/2012 12:00:00 AM,UNK,ROBBERY,SNATCH,4/30/2012 10:11:55 AM,16TH ST NW & COLUMBIA RD NW,38.92652528449840,-77.03648819449490,WASHINGTON,DC,1,1A,1A03,FOURTH,408,2,NONE,NONE,NONE,NONE
1144924,12044761,4/2/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:11:55 AM,2300 B/O MASSACHUSETTS AVE NW,38.91345426304380,-77.05244227647450,WASHINGTON,DC,2,2D,2D02,SECOND,208,1,NONE,NONE,NONE,NONE
1145210,12045079,4/2/2012 12:00:00 AM,UNK,ROBBERY,F&V,4/30/2012 10:11:55 AM,1000 B/O 1ST ST NE,38.90312388083390,-77.00588648099610,WASHINGTON,DC,6,6C,6C04,FIRST,103,25,NONE,NONE,NONE,NOMA BID
1145339,12045262,4/3/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,400 B/O MITCH SNYDER PL NW,38.89543375569780,-77.01361968807060,WASHINGTON,DC,6,6C,6C09,FIRST,103,8,NONE,NONE,NONE,DOWNTOWN BID
1145401,12044559,4/3/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,1000 B/O BRENTWOOD RD NE,38.9189991884,-76.99169172422850,WASHINGTON,DC,5,5B,5B03,FIFTH,505,22,NONE,NONE,NONE,NONE
1145534,12045506,4/3/2012 12:00:00 AM,UNK,ADW,OTHER,4/30/2012 10:11:55 AM,WASHINGTON CIRCLE,38.902522366963,-77.05016555467450,WASHINGTON,DC,2,2A,2A02,SECOND,207,5,NONE,NONE,NONE,NONE
1145762,12045749,4/4/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:11:55 AM,3500 B/O CARPENTER ST SE,38.87045477832840,-76.95428298945960,WASHINGTON,DC,7,7B,7B07,SIXTH,605,34,NONE,NONE,NONE,NONE
1146038,12046108,4/4/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,1000 B/O F ST NW,38.89734793082480,-77.02650845453140,WASHINGTON,DC,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
1146288,12046475,4/5/2012 12:00:00 AM,UNK,THEFT,1,4/30/2012 10:11:55 AM,GEORGIA AVE NW & RANDOLPH ST NW,38.938684178880,-77.02469029331410,WASHINGTON,DC,4,4C,4C08,FOURTH,407,18,GEORGIA AVE NW & SHEPHERD ST NW,GEORGIA AVE NW & SHEPHERD ST NW,NONE,NONE
1147135,12047308,4/7/2012 12:00:00 AM,UNK,ADW,KNIFE,4/30/2012 10:11:55 AM,8TH ST NW & UPSHUR ST NW,38.941928430801,-77.02334632377320,,,4,4C,4C07,FOURTH,407,18,NONE,NONE,NONE,NONE
1147551,12047783,4/8/2012 12:00:00 AM,UNK,ROBBERY,F&V,4/30/2012 10:11:55 AM,1700 B/O PARK RD NW,38.93246995163290,-77.04008448111730,WASHINGTON,DC,1,1D,1D01,FOURTH,408,2,NONE,NONE,NONE,NONE
1148556,12048271,4/9/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,1800 B/O 24TH ST NE,38.91481846968790,-76.97216119623150,WASHINGTON,DC,5,5B,5B09,FIFTH,503,23,NONE,NONE,NONE,NONE
1148853,06612241,4/10/2012 12:00:00 AM,UNK,ADW,OTHER,4/30/2012 10:11:55 AM,3500 B/O INTERNATIONAL PL NW,38.94240328318580,-77.066121793945,WASHINGTON,DC,3,3F,3F01,SECOND,203,12,NONE,NONE,NONE,NONE
1148925,12048740,4/10/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,4200 B/O WISCONSIN AVE NW,38.94404571641340,-77.07749195089570,WASHINGTON,DC,3,3F,3F06,SECOND,202,11,NONE,NONE,NONE,NONE
1149069,12048925,4/10/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,14TH ST NW & RHODE ISLAND AVE NW,38.90883776666330,-77.031949272948,WASHINGTON,DC,2,2F,2F02,THIRD,307,7,NONE,NONE,NONE,NONE
1149091,12048939,4/10/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,800 B/O SOUTHERN AVE SE,38.82813962102670,-76.99239904964020,WASHINGTON,DC,8,8D,8D01,SEVENTH,706,39,NONE,NONE,NONE,NONE
1149781,12049689,4/12/2012 12:00:00 AM,UNK,THEFT,SHOPLIFTING,4/30/2012 10:12:02 AM,1100 B/O 4TH ST SW,38.87818486846060,-77.01767192669590,WASHINGTON,DC,6,6D,6D03,FIRST,105,9,NONE,NONE,NONE,NONE
1149829,12049742,4/12/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,1700 B/O M ST NE,38.90562806448560,-76.97851551739420,WASHINGTON,DC,5,5B,5B10,FIFTH,507,23,NONE,NONE,NONE,NONE
1150033,12050029,4/13/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:11:55 AM,1300 B/O SAVANNAH ST SE,38.84354454258060,-76.98733477536050,WASHINGTON,DC,8,8E,8E02,SEVENTH,705,38,NONE,NONE,NONE,NONE
1150120,12050111,4/13/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:11:55 AM,2300 B/O HUNTER PL SE,38.85832182049910,-76.98619044844110,WASHINGTON,DC,8,8A,8A07,SEVENTH,703,37,NONE,NONE,NONE,NONE
1150145,12050106,4/13/2012 12:00:00 AM,UNK,ROBBERY,GUN,4/30/2012 10:11:55 AM,1800 B/O 18TH ST SE,38.86774890202190,-76.97900584461490,WASHINGTON,DC,8,7B,7B01,SEVENTH,701,34,NONE,NONE,NONE,NONE
1150196,12050188,4/13/2012 12:00:00 AM,UNK,THEFT,1,4/30/2012 10:11:55 AM,UNIT B/O KENILWORTH AVE NE,38.89075330546390,-76.95789260794620,WASHINGTON,DC,7,7D,7D04,SIXTH,601,32,NONE,NONE,NONE,NONE
1150238,12050275,4/13/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:11:55 AM,4200 B/O EAST CAPITOL ST,38.88977730355520,-76.94020721686650,WASHINGTON,DC,7,7D,7D05,SIXTH,603,32,NONE,NONE,NONE,NONE
1150280,12050240,4/13/2012 12:00:00 AM,UNK,ROBBERY,F&V,4/30/2012 10:11:55 AM,3700 B/O BENTON ST NW,38.920622174401,-77.07494339913920,WASHINGTON,DC,3,3B,3B05,SECOND,204,14,NONE,NONE,NONE,NONE
1150435,12050466,4/13/2012 12:00:00 AM,UNK,THEFT,1,4/30/2012 10:11:55 AM,900 B/O F ST NW,38.89734390658830,-77.02496877604770,WASHINGTON,DC,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
1150453,12050500,4/13/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:12:02 AM,1300 B/O F ST NW,38.89734645822280,-77.03079101852980,WASHINGTON,DC,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
1150461,12050529,4/14/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,13TH ST NW & V ST NW,38.918113724309,-77.02962045200590,WASHINGTON,DC,1,1B,1B04,THIRD,305,3,NONE,NONE,NONE,NONE
1150607,12050589,4/14/2012 12:00:00 AM,UNK,ADW,KNIFE,4/30/2012 10:11:55 AM,600 B/O NEW YORK AVE NW,38.90329609975640,-77.02077361072240,WASHINGTON,DC,6,2C,2C03,THIRD,308,8,NONE,NONE,NONE,NONE
1150619,12050627,4/14/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,1900 B/O 14TH ST NW,38.91630162503760,-77.03195077169090,WASHINGTON,DC,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
1150644,12050629,4/13/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:11:55 AM,2200 B/O SAVANNAH TER SE,38.84970290982890,-76.97269858515960,WASHINGTON,DC,8,8B,8B05,SEVENTH,704,38,NONE,NONE,NONE,NONE
1150696,12050676,4/14/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,4500 B/O 7TH ST NW,38.94652195011850,-77.02184323905660,WASHINGTON,DC,4,4C,4C07,FOURTH,407,18,NONE,NONE,NONE,NONE
1150703,12050674,4/14/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,800 B/O 1ST ST NE,38.901156489946,-77.00631639926340,WASHINGTON,DC,6,6C,6C05,FIRST,103,25,NONE,NONE,NONE,NOMA BID
1150822,12050767,4/14/2012 12:00:00 AM,UNK,THEFT,SHOPLIFTING,4/30/2012 10:11:55 AM,1100 B/O CONNECTICUT AVE NW,38.90468451137640,-77.04052195457450,WASHINGTON,DC,2,2B,2B05,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
1150876,12050862,4/14/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,1600 B/O WISCONSIN AVE NW,38.91163892212840,-77.06558018449070,WASHINGTON,DC,2,2E,2E02,SECOND,206,4,NONE,NONE,NONE,GEORGETOWN BID
1150892,12050909,4/14/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,2300 B/O PENNSYLVANIA AVE SE,38.87412368784190,-76.97209345073790,WASHINGTON,DC,7,7A,7A07,SIXTH,605,34,NONE,NONE,NONE,NONE
1150934,12050955,4/14/2012 12:00:00 AM,UNK,THEFT F/AUTO,1,4/30/2012 10:11:55 AM,1200 B/O 1ST ST NE,38.90640567924350,-77.00588797681270,WASHINGTON,DC,6,6C,6C04,FIFTH,506,25,NONE,NONE,NONE,NOMA BID
1150998,12051056,4/15/2012 12:00:00 AM,UNK,ROBBERY,FEAR,4/30/2012 10:11:55 AM,5TH ST SE & VIRGINIA AVE SE,38.88016958186920,-76.99951963811290,WASHINGTON,DC,6,6B,6B03,FIRST,106,26,NONE,NONE,NONE,NONE
1151178,12051074,4/15/2012 12:00:00 AM,UNK,ADW,OTHER,4/30/2012 10:11:55 AM,1400 B/O DOWNING ST NE,38.92171352361590,-76.98419118831270,WASHINGTON,DC,5,5B,5B01,FIFTH,505,22,NONE,NONE,NONE,NONE
1151226,12051129,4/15/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,2800 B/O EVARTS ST NE,38.92450932513890,-76.96729877163970,WASHINGTON,DC,5,5B,5B09,FIFTH,503,22,NONE,NONE,NONE,NONE
1151233,12051113,4/15/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,1100 B/O KALMIA RD NW,38.98395668252470,-77.02756060956740,WASHINGTON,DC,4,4A,4A02,FOURTH,401,16,NONE,NONE,NONE,NONE
1151249,12051132,4/15/2012 12:00:00 AM,UNK,THEFT F/AUTO,1,4/30/2012 10:11:55 AM,7800 B/O 12TH ST NW,38.98502075503890,-77.02859301576760,WASHINGTON,DC,4,4A,4A02,FOURTH,401,16,NONE,NONE,NONE,NONE
1151250,12051084,4/15/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,3200 B/O 22ND ST NE,38.93055972310080,-76.97424766555470,WASHINGTON,DC,5,5A,5A10,FIFTH,503,22,NONE,NONE,NONE,NONE
1151271,12051161,4/15/2012 12:00:00 AM,UNK,ROBBERY,F&V,4/30/2012 10:11:55 AM,UNIT B/O NEW YORK AVE NE,38.90786223621440,-77.00750568079420,WASHINGTON,DC,6,6C,6C04,FIFTH,506,25,NONE,NONE,NONE,NOMA BID
1151344,12051252,4/15/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,1200 B/O 22ND ST NW,38.90629295404190,-77.04876856025880,WASHINGTON,DC,2,2A,2A02,SECOND,208,5,NONE,NONE,NONE,NONE
1151398,12051338,4/15/2012 12:00:00 AM,UNK,ROBBERY,CAR JACKING,4/30/2012 10:11:55 AM,1300 B/O 45TH PL SE,38.87424107396020,-76.93489749928210,WASHINGTON,DC,7,7E,7E02,SIXTH,604,33,NONE,NONE,NONE,NONE
1151551,12051444,4/15/2012 12:00:00 AM,UNK,ROBBERY,FEAR,4/30/2012 10:11:55 AM,900 B/O L ST NW,38.90416477503380,-77.02499962553810,WASHINGTON,DC,2,2F,2F06,THIRD,307,8,NONE,NONE,NONE,DOWNTOWN BID
1151586,12051479,4/15/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,1200 B/O NEW HAMPSHIRE AVE NW,38.90604236162430,-77.04682067960010,WASHINGTON,DC,2,2A,2A02,SECOND,208,5,NONE,NONE,NONE,GOLDEN TRIANGLE BID
1151606,12051504,4/16/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:11:55 AM,2300 B/O LINCOLN RD NE,38.92082898531860,-77.00457111036260,WASHINGTON,DC,5,5C,5C06,FIFTH,502,21,NONE,NONE,NONE,NONE
1151613,12051525,4/16/2012 12:00:00 AM,UNK,ROBBERY,GUN,4/30/2012 10:11:55 AM,2500 B/O ALABAMA AVE SE,38.85738089960860,-76.96948120290360,WASHINGTON,DC,8,8B,8B01,SEVENTH,702,36,NONE,NONE,NONE,NONE
1151624,12051524,4/16/2012 12:00:00 AM,UNK,ROBBERY,GUN,4/30/2012 10:11:55 AM,3700 B/O HAYES ST NE,38.90739679253360,-76.95199393062820,WASHINGTON,DC,7,7D,7D07,SIXTH,601,30,NONE,NONE,NONE,NONE
1151628,12051515,4/15/2012 12:00:00 AM,UNK,ADW,OTHER,4/30/2012 10:11:55 AM,2100 B/O MARYLAND AVE NE,38.90443411927750,-76.97283248471580,WASHINGTON,DC,5,5B,5B12,FIFTH,507,23,NONE,NONE,NONE,NONE
1151778,12051561,4/16/2012 12:00:00 AM,UNK,ROBBERY,KNIFE,4/30/2012 10:11:55 AM,7TH ST NW & NEW YORK AVE NW,38.90293883968270,-77.02191907007890,WASHINGTON,DC,2,2C,2C03,THIRD,308,8,NONE,NONE,NONE,DOWNTOWN BID
1151811,12051589,4/16/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,1500 B/O ALABAMA AVE SE,38.84654267672080,-76.98151456152750,WASHINGTON,DC,8,8B,8B07,SEVENTH,704,38,NONE,NONE,NONE,NONE
1151831,12051598,4/16/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:11:55 AM,1200 B/O NEW YORK AVE NE,38.91512799872220,-76.98654806921590,WASHINGTON,DC,5,5B,5B05,FIFTH,505,23,NONE,NONE,NONE,NONE
1151851,12051641,4/16/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,1700 B/O 15TH ST NW,38.913350290363,-77.03454817457460,WASHINGTON,DC,2,2B,2B04,THIRD,301,6,NONE,NONE,NONE,NONE
1151893,12051694,4/16/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:11:55 AM,5300 B/O E ST SE,38.88184748613940,-76.92561776447660,WASHINGTON,DC,7,7E,7E03,SIXTH,604,33,NONE,NONE,NONE,NONE
1151902,12051680,4/16/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,300 B/O 40TH ST NE,38.89335690254660,-76.94698908048120,WASHINGTON,DC,7,7A,7A06,SIXTH,603,32,NONE,NONE,NONE,NONE
1151904,12051685,4/16/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,16TH ST NW & GALLATIN ST NW,38.95187060099950,-77.03641516553880,WASHINGTON,DC,4,4C,4C02,FOURTH,404,18,NONE,NONE,NONE,NONE
1151933,12051752,4/16/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,2500 B/O GEORGIA AVE NW,38.92326114692820,-77.02239253080340,WASHINGTON,DC,1,1B,1B11,THIRD,306,3,NONE,NONE,NONE,NONE
1152008,12051834,4/16/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:11:55 AM,4900 B/O 16TH ST NE,38.94945848988510,-76.98315067154540,WASHINGTON,DC,5,5A,5A08,FOURTH,405,20,NONE,NONE,NONE,NONE
1152043,12051879,4/16/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:11:55 AM,1600 B/O WISCONSIN AVE NW,38.91163892212840,-77.06558018449070,WASHINGTON,DC,2,2E,2E02,SECOND,206,4,NONE,NONE,NONE,GEORGETOWN BID
1152049,12051870,4/16/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,1100 B/O SOUTH CAPITOL ST,38.87698142879230,-77.00909857229980,WASHINGTON,DC,6,6D,6D03,FIRST,105,9,NONE,NONE,NONE,NONE
1152072,12051902,4/16/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:11:55 AM,17TH ST NW & U ST NW,38.91700339071910,-77.03847241034910,WASHINGTON,DC,2,1C,1C08,THIRD,301,6,NONE,NONE,NONE,NONE
