STREET,QUADRANT,FROMINTERSECTION,TOINTERSECTION,NOOFBLOCKS,WORKDESCRIPTION,YEARBUDGETED,PERCENTCOMPLETED,STATUS,MILES,WARD,FUNCTIONALCLASS,ESTIMATEDSTARTDATE,ESTIMATEDCOMPLETIONDATE,ACTUALCOMPLETIONDATE,REMARKS,XCOORD,YCOORD,LATITUDE,LONGITUDE,PROJECTNOTE,PROJECTNAME,PROJECTMGR,PROJECTID,TEAMREP,EMAIL,CONTACTPHONE
Massachusetts Ave,NW,Ward Cir (W),Westmoreland Cir (E),13,Pavement Resurface/restoration,2009,65,Under Construction,1.06,3,PRINCIPAL ARTERIAL,,,,,391900.847250,141727.7464,38.94340513987630,-77.093425458031,,Citywide Pavement Restoration,Charles Daniel,10825,A. Deguzman - O. Hill -P. Wilson,,202-671-4591
2nd St,SE,Oakwood St,Orange St,1,Pavement Resurface/restoration,9,0,Under Construction,0.07,8,LOCAL,7/20/2009 12:00:00 AM,7/31/2009 12:00:00 AM,,"Mill & resurface, bus pads, & spot curb repairs",399522.164410,131061.4942,38.84735685292090,-77.00550451865390,Local Pave,,Reginald Arno,10827,reginald Arno,reginald.arno@dc.gov,202 741-5340
18th St,NW,Massachusetts Ave,Florida Ave,12,Pavement Resurface/restoration,2006,4,Under Construction,0.53,2,MINOR ARTERIAL,,,,,396386.580190,138338.692570,38.912905391887,-77.04166373935590,,"Reconstruction of 18th St, NW",Olusegun Olaore,10828,D. Jamabo,,202-671-0181
California St,NW,Florida Ave,18th St,1,Pavement Resurface/restoration,2009,98,Under Construction,0.07,1,LOCAL,8/27/2009 12:00:00 AM,12/1/2009 12:00:00 AM,,,396441.919580,138884.428730,38.91782179041890,-77.04102848890560,,"Reopining of Champlain St, NW, @Marie Reed learning Ct.",Olusegun Olaore,10830,M. Prince,,202-671-0181
Champlain St,NW,Florida Ave,Kalorama Rd (S),3,Pavement Resurface/restoration,2006,98,Under Construction,0.09,1,LOCAL,,12/1/2009 12:00:00 AM,,,396505.780510,138954.968130,38.91845748869410,-77.04029246289970,,"Reopening of Champ. St,NW, @Marie Reed learning Ct.",Olusegun Olaore,10831,M. Prince,,202-671-0181
Champlain St,NW,Florida Ave,Kalorama Rd (S),3,Pavement Resurface/restoration,2006,98,Under Construction,0.09,1,LOCAL,,12/1/2009 12:00:00 AM,,,396473.079740,139080.109280,38.919584670389,-77.04067018409790,,"Reopening of Champ. St,NW, @Marie Reed learning Ct.",Olusegun Olaore,10831,M. Prince,,202-671-0181
14th St,SW,Interstate 395 (N),Virginia Line,3,Pavement Resurface/restoration,2006,22,Under Construction,0.93,2,PRINCIPAL ARTERIAL,4/15/2009 12:00:00 AM,4/29/2011 12:00:00 AM,,,396765.653910,134490.310810,38.878239242289,-77.03727479574580,,Rehabilitation of Sb&Nb 14th St. Bridge,Mark Clabaugh,10832,S. Ayodele,,202-671-0181
North Capitol St,BN,"Hawaii Ave, Rock Creek Chu",Buchanan St,1,Sidewalk Construction,2009,0,Under Construction,0.02,5,PRINCIPAL ARTERIAL,,,,,399253.709690,142147.027110,38.94721915565210,-77.00860907732470,,ARRA Sidewalk Contract,Mohamed Abdullahi,10856,Matthew K. Gana,,671-4628
North Capitol St,BN,Buchanan St,Crittenden St,1,Sidewalk Construction,2009,0,Under Construction,0.05,4/5,PRINCIPAL ARTERIAL,,,,,399249.386650,142208.586370,38.94777369493920,-77.008659014533,,ARRA Sidewalk Contract,Mohamed Abdullahi,10857,Matthew K. Gana,,671-4628
North Capitol St,BN,Buchanan St,Rock Creek Church Rd (N),2,Sidewalk Construction,2009,0,Under Construction,0.22,4/5,PRINCIPAL ARTERIAL,,,,,399241.5215,142337.894430,38.94893853103130,-77.00874988923930,,ARRA Sidewalk Contract,Mohamed Abdullahi,10858,Matthew K. Gana,,671-4628
North Capitol St,BN,Crittenden St,Rock Creek Church Rd (N),1,Sidewalk Construction,2009,0,Under Construction,0.16,4/5,PRINCIPAL ARTERIAL,,,,,399238.953950,142381.8185,38.94933420894880,-77.00877955750340,,,Mohamed Abdullahi,10859,,,
15th St,SE,Alabama Ave,Mississippi Ave,3,Pavement Resurface/restoration,2009,50,Under Construction,0.31,8,LOCAL,8/7/2009 12:00:00 AM,8/17/2009 12:00:00 AM,,Local Paving ,401448.546910,130661.490680,38.84375238151450,-76.983314028677,,,Reginald Arno,10861,Reginald Arno,regianld.arno@dc.gov,741-5340
4th St,NW,Massachusetts Ave,L St,0,Upgrading,2009,15,Under Construction,0,5,,,,,,398597.003290,137122.480480,38.90195564050840,-77.01617446013120,,"Mt. VernonTriangle -Resurfacing of 4th St., NW from L St to Mass Ave.",Mohamed Dahir,10887,Ali Shakerei,ali.shakeri@dc.gov,
29th St,NW,"Garfield St, Woodley Rd",Cathedral Ave,1,Pavement Resurface/restoration,2009,20,Under Construction,0.18,3,LOCAL,,,,,395001.919290,139958.506530,38.92749041644580,-77.05764105540950,,Citywide Pavement Restoration,Charles Daniel,10897,T. Arno,,202-671-4591
17th St,NW,Massachusetts Ave,"New Hampshire Ave, Swann S",9,Pavement Resurface/restoration,2009,6,Under Construction,0.48,2,MINOR ARTERIAL,,10/26/2010 12:00:00 AM,,,396662.214140,138174.828890,38.91143034251190,-77.03848480682320,,"Resurfacing of 17th , NW, Mass to New Hampshire",Olusegun Olaore,10910,,,202-671-0118
Foxhall Rd,NW,Canal Rd,Nebraska Ave,22,Federal Aid Resurfacing,2007,89,Under Construction,2.09,3,MINOR ARTERIAL,7/1/2006 12:00:00 AM,,,Limits extended per M. Khalid,392301.689940,138930.5528,38.91821077603110,-77.08877027877830,WASA FY-06 LSR,Resurfacing,Paul Stephenson,8721,Nenette,N/A,202-671-4598
H St,NE,3rd St,14th St,11,Reconstruction,2008,12,Under Construction,0.89,6,MINOR ARTERIAL,9/22/2008 12:00:00 AM,7/10/2011 12:00:00 AM,,The project design is 100% completed.Contract awarded to Capitol paving. 7/12/2008 1st phase of construction started,400540.314490,136927.750010,38.90020239257340,-76.99377113268880,,"Reconstruction of H street, NE  from 3rd Street to 14th Street",Mohamed Dahir,8732,Ali Shakeri,,(202)6714611
Connecticut Ave,NW,L St,N St,4,Pavement Resurface/restoration,2007,30,Under Construction,0.27,2,PRINCIPAL ARTERIAL,7/1/2008 12:00:00 AM,,,Coordinate with Underpass,396441.225660,137516.264860,38.90549690429230,-77.041029399883,,,Olaore,8783,Prince,,
Military Rd,NW,14th St,"Glover Dr, Oregon Ave",5,Street Light Projects,2006,0,Under Construction,1.13,3/4,OTHER FREEWAY AND EXPRESSWAY,,,,,396255.7199,143733.215650,38.96150030083330,-77.04320203096240,,,,8954,,,
M St,NE,North Capitol St,1st St,1,Street Light Projects,2006,0,Under Construction,0.17,6,COLLECTOR,,,,,399351.724380,137531.686970,38.90564279733370,-77.00747403758810,,,,8987,,,
Rockwood Pky,NW,Indian Ln,Glenbrook Rd (W),1,Street Light Projects,2007,3,Under Construction,0.37,3,COLLECTOR,11/15/2007 12:00:00 AM,,,,391535.997850,140654.362140,38.93373234485070,-77.09762083011740,,Street Light Project,Fred. Akinbolajo,9022,Yinusa Yusuff and Tunde Adeyemo,,202-671-4580
18th St,NW,Florida Ave,"Columbia Rd, Adams Mill Rd",6,Design,2006,90,Active Design,0.41,1,MINOR ARTERIAL,9/30/2005 12:00:00 AM,3/24/2009 12:00:00 AM,,,396380.810910,139100.193180,38.919765217544,-77.04173427484350,,18th Street Adams Morgan Streetscape,D. Muluneh,9052,Muluneh,,671-4600
U St,NW,"9th St, Florida Ave (E)",Florida Ave (W),10,Design,2006,95,Active Design,0.93,1/2,PRINCIPAL ARTERIAL,9/29/2006 12:00:00 AM,8/29/2008 12:00:00 AM,,,397173.736960,138792.534330,38.91699663359060,-77.03258947100780,,U Street Streetscape,Hayat Kelil-Brown,9053,,,671-4600
Channing St,NW,North Capitol St,1st St,1,Traffic Calming,2006,25,Under Construction,0.17,5,LOCAL,,,,Humps and one way conversation,399081.237690,139388.883070,38.92237280178190,-77.01059499203690,,,Gloria Kouabo,9098,,,
M St,NE,3rd St,5th St,3,Traffic Calming,2006,0,Under Construction,0.14,6,COLLECTOR,,11/23/2006 12:00:00 AM,,,399933.0487,137531.831130,38.90564433249150,-77.00077188857260,,,,9203,,,
Eastern Ave,NE,"Bunker Hill Rd, Randolph S","Michigan Ave (N), Queens C",5,Design,2007,30,Active Design,0.83,5,MINOR ARTERIAL,7/2/2007 12:00:00 AM,,,,402403.123780,141579.961470,38.94210789776860,-76.97227996239090,,,,9217,,,
W St,NE,"13th St, Downing St","18th St, Montana Ave",4,Federal Aid Resurfacing,2005,80,Under Construction,0.46,5,LOCAL,1/25/2007 12:00:00 AM,,,,401484.852320,139034.503490,38.91917966145180,-76.98287773236750,,,,9227,,,
Kenilworth Ave,NE,Foote St,Lane Pl,5,Reconstruction,2007,99,Under Construction,0.69,7,LOCAL,4/2/2007 12:00:00 AM,9/30/2009 12:00:00 AM,,"Construction started on April 02, 2007. 73.94% of work is completed as of Feb 19, 2009. ",404731.087460,137044.383710,38.90124050485780,-76.94545815970540,,"Reconstruction of Kenilworth Avenue, NE, from Foote Street to Lane Pl",Zahra Dorriz,9261,Mike Jelen,Michael.Jelen@DC.gov ,671-4630
9th St,NE,T St,"Brentwood Rd, V St",1,Pavement Resurface/restoration,2005,95,Under Construction,0.12,5,MINOR ARTERIAL,1/26/2007 12:00:00 AM,,,,400541.860030,138724.579130,38.91638884812220,-76.99375189759970,,Brentwoo Road,Amal Azzam,9279,3,amal.azzam@dc.gov,202-671-4646
13th St,NE,Maryland Ave,Florida Ave,6,Design,2007,65,Active Design,0.26,6,COLLECTOR,3/2/2007 12:00:00 AM,,,Per Team 3,401014.214270,136909.658970,38.90003900297290,-76.988307935892,,,,9281,,,
15th St,NE,Irving St,Kearny St,2,Design,2007,65,Active Design,0.14,5,LOCAL,7/2/2007 12:00:00 AM,,,"Upgradeing, Reconstruction & Resurfacing of Local Streets in wards 5&6",401369.961060,140225.342820,38.92990730730480,-76.98420020050050,,,,9283,,,
Adams St,NE,18th St,Lawrence Ave,3,Design,2007,65,Active Design,0.13,5,LOCAL,7/2/2009 12:00:00 AM,,,Per Team 3,401925.3407,139150.800480,38.92022644798380,-76.97779800567910,2009,,,9284,,,
Water St,NW,"K St, Wisconsin Ave",34th St,4,Special Project,2006,72,Under Construction,0.29,2,LOCAL,,8/29/2008 12:00:00 AM,,,394337.362870,137264.777920,38.90322038621780,-77.06528292555190,Rec. Trail project executed by NPS on behalf of T1,georgetown Waterfront park - sidewalk and rec trail,George Branyan,9497,Sam Ayodele,,671-4600
Sherman Ave,NW,Florida Ave,"Monroe St, New Hampshire A",14,Design,2006,65,Active Design,0.90,1,MINOR ARTERIAL,11/15/2008 12:00:00 AM,12/31/2009 12:00:00 AM,,,397758.618140,139819.765410,38.92625194881120,-77.02584859524550,,"Sherman Ave., from Park to Florida",U. Maduabuchi,9507, H. Brown,,202-671-4600
Nannie Helen Burroughs Ave,NE,Minnesota Ave,Eastern Ave,18,Design,2006,90,Active Design,1.46,7,MINOR ARTERIAL,9/3/2007 12:00:00 AM,9/1/2009 12:00:00 AM,,This is a streetscape project will that will also incorpoate Low-Impact Development to improve the quality of the storm run-off before it enters Watts Branch and Anacostia River.  ,406072.560320,136724.157720,38.89834755142130,-76.92999596837670,A GREAT STREET PROJECT,Nannie Helen Burroughs Avenue - Great Street,Reginald M. Arno,9555,Reginald M. Arno,reginald.arno@dc.gov,202 671 4665
16th St,NW,Alaska Ave,Maryland Line,18,Special Project,2005,99,Under Construction,1.24,4,PRINCIPAL ARTERIAL,1/7/2005 12:00:00 AM,,,,396851.428990,146210.774280,38.98382106432850,-77.03634003605810,,,,9578,,,
Upton St,NW,Reno Rd,38th St,2,Speed Hump,2007,0,Under Construction,0.31,3,LOCAL,,,,,393780.695320,141593.973310,38.94221539324120,-77.07173980637620,,Upton Street Traffic Calming,Khalid Muhammed,9739,Wanda Pinn Mills,,202 6710680
57th Pl,NE,Blaine St,Clay St,1,Speed Hump,2006,0,Under Construction,0.14,7,LOCAL,,,,,407040.8714,136008.037530,38.89188925856920,-76.91884069386090,,,Gabriela Vega,9760,,gabriela.vega@dc.gov,202 671 2845
Gales St,NE,"15th St, G St",16th St,1,Speed Hump,2007,100,Under Construction,0.10,6,LOCAL,,6/29/2007 12:00:00 AM,,,401492.424960,136756.459610,38.89865824626130,-76.98279536077050,,,,9797,,,
South Capitol St,BN,N St,O St,1,Reconstruction,2007,96,Under Construction,0.12,6,OTHER FREEWAY AND EXPRESSWAY,4/30/2007 12:00:00 AM,,,,399211.829440,133997.845150,38.873808511655,-77.009082847336,,,,9817,,,
2nd St,NE,Massachusetts Ave,Delaware Ave,9,Reconstruction,2007,86,Under Construction,0.62,6,COLLECTOR,2/14/2007 12:00:00 AM,,,,399696.1272,136868.939450,38.89967271949570,-77.00350308816530,,,,9819,,,
K St,NE,1st St,2nd St,1,Reconstruction,2007,82,Under Construction,0.13,6,MINOR ARTERIAL,2/12/2007 12:00:00 AM,,,,399589.884770,137184.523450,38.90251556958470,-77.004728054191,,Rehabilitation of the Underpasses,,9820,,,
M St,NE,1st St,3rd St,2,Reconstruction,2007,88,Under Construction,0.21,6,COLLECTOR,1/16/2007 12:00:00 AM,,,,399656.310560,137531.800030,38.90564398768820,-77.003962431649,,Rehabilitation of the Underpasses,,9821,,,
Florida Ave,NE,New York Ave,3rd St,2,Reconstruction,2007,88,Under Construction,0.16,5/6,PRINCIPAL ARTERIAL,2/23/2007 12:00:00 AM,,,,399713.148510,137831.511070,38.90834390915460,-77.00330726613960,,Rehabilitation of the Underpasses,,9822,,,
Adams Mill Rd,NW,Harvard St (W),"Irving St, Kenyon St",1,Design,2007,30,Active Design,0.13,1,MINOR ARTERIAL,,11/30/2010 12:00:00 AM,,Harvard Triangle was recommended for safety improvements in the TPPA Study "Columbia Hieghts/Mt. Pleasant",396207.157910,140112.422080,38.928882964403,-77.04374232773870,,Harvard Triangle Project,M. Khalid,9845,A. Agahi,,202-671-4600
C St,SW,Washington Ave (N),2nd St,1,Design,2007,65,Active Design,0.06,2,LOCAL,,,,Close C Street for AVDLM,398841.587740,135393.090560,38.88637701655750,-77.013351850128,,AVDLM,Olaore,9846,Olaore,,
29th St,NW,K St,"M St, Pennsylvania Ave",2,Bridge Construction,2007,15,Under Construction,0.19,2,LOCAL,3/30/2009 12:00:00 AM,6/26/2012 12:00:00 AM,,,394962.636120,137339.104890,38.90389375533740,-77.05807487609960,,Rehabilitation of 3 Bridges over the C&O Canal,Mark Clabaugh,9853,D. D'Arbela,,202-671-0181
L St,NW,4th St,5th St (N),3,Design,2007,100,Active Design,0.19,2/6,LOCAL,12/31/2007 12:00:00 AM,,,,398477.738810,137319.932960,38.90373416383780,-77.01754983933970,N/A,"Resurfacing of 4th and L Street, From 4th Street to 5Th street, NW",Dahir Mohamed,9942,N/A,N/A,202-6714627
L St,NW,4th St,5th St (N),3,Design,2007,100,Active Design,0.19,2/6,LOCAL,12/31/2007 12:00:00 AM,,,,398388.6696,137368.801440,38.90417422953680,-77.01857681474880,N/A,"Resurfacing of 4th and L Street, From 4th Street to 5Th street, NW",Dahir Mohamed,9942,N/A,N/A,202-6714627
K St,NW,New Jersey Ave,7th St (N),7,Design,2007,100,Under Construction,0.44,2/6,MINOR ARTERIAL,12/31/2007 12:00:00 AM,,,Consultant is preparing PS&E Package ,398454.273720,137185.273280,38.90252106092370,-77.01782006052790,Wasa raised an issue after 100% Plans &Specificati,"Resurfacing of K street from 7th Street to New-Jersey Ave, NW ",Dahir Mohamed,9943,Ali Shakeri,N/A,202-6714627
Monroe St,NE,8th St,12th St,3,Design,2007,90,Active Design,0.22,5,MINOR ARTERIAL,3/2/2007 12:00:00 AM,,,"Upgradeing, Reconstruction & Resurfacing of Local Streets in wards 5&6. The design of this location was advanced due to Brookland study commitment.",400608.014460,140506.349860,38.93243956253820,-76.99298750309470,,,,9949,,,
Franklin St,NE,Michigan Ave,7th St,6,Design,2007,65,Active Design,0.58,5,MINOR ARTERIAL,3/2/2007 12:00:00 AM,,,"Upgradeing, Reconstruction & Resurfacing of Local Streets in wards 5&6",399862.902690,139746.4049,38.925593942061,-77.00158105148930,,,,9951,,,
Lawrence Ave,NE,Edwin St,Bryant St,2,Design,2007,65,Active Design,0.19,5,LOCAL,3/2/2007 12:00:00 AM,,,"Upgrading, reconstruction and resurfacing of local Streets in Wards 5&6",402029.890210,139152.096890,38.92023789119110,-76.97659239313040,,,,9952,,,
Bangor St,SE,Branch Ave,34th St,1,Pavement Resurface/restoration,2007,99,Under Construction,0.07,7,LOCAL,,,,,403624.435170,132519.925690,38.86048769249660,-76.95823994181950,,citywide pavement restoration local streets ward 7/8,zahra dorriz,10041,ali shakeri,,202-671-4615
Minnesota Ave,NE,East Capitol St,Sheriff Rd,14,Design,2008,30,Active Design,1.13,7,MINOR ARTERIAL,3/3/2008 12:00:00 AM,12/15/2009 12:00:00 AM,,The District Department of Transportation (DDOT) is seeking to create and implement a streetscape design that will enhance the Minnesota Avenue NE neighborhood Commercial District and Minnesota Avenue NE corridor. The focus of this project is to prepare a,404549.250850,136544.475450,38.89673811185520,-76.94755775405280,Project under scopeing and Negotiation with cons.,Reconstruction and Safety improvement of Minnesota Avenue corridor fro,Reginald Arno,10043,reginald arno,reginadl.arno@dc.gov,202-741-5340
Benning Rd,NE,"15th St, Bladensburg Rd, H",Oklahoma Ave,12,Reconstruction,2005,81.40000153,Under Construction,0.77,5/6/7,PRINCIPAL ARTERIAL,,5/31/2010 12:00:00 AM,,This project limit is from 14th and H Street to Oklahoma Avenue; Protract would not allow me to enter in these limits.,402041.0552,136784.044030,38.89890563400710,-76.97647068277180,From 14th and H Street to Oklahoma Avenue,"Reconstruction of Benning Rd., N.E.",Zahra Dorriz,10051,Zahra Dorriz,Zahra.Dorriz@dc.gov,202-671-4653
Martin Luther King Jr Ave,SE,Esther Pl,"South Capitol St (N), Hall",8,Traffic Safety Improvement,2008,100,Active Design,0.67,8,MINOR ARTERIAL,4/21/2008 12:00:00 AM,5/29/2009 12:00:00 AM,,PS & E package is under review in preparation to advertize.,399600.124570,130232.378550,38.839887849046,-77.00460595974830,Easter Pl. to Atlantic Street,Bellevue III Revitalization,Samuel Olatunji,10052,Ali Shakeri,shakeri.ali@dc.gov,202-671-4612
Martin Luther King Jr Ave,SE,Good Hope Rd,"Howard Rd (S), Sheridan Rd",12,Reconstruction,2007,30,Active Design,0.52,8,MINOR ARTERIAL,,,,"Includes Howard Road, W Street, and Good Hope Road",400842.686490,132898.269210,38.86390303315760,-76.99029026095840,Revitalization of MLK Jr. Avenue - Great Streets,Revitalization of MLK Jr. Avenue - Great Streets Project,Ola Igho-Osagie,10054,Michael Jelen/Ola Igho-Osagie,michael.jelen@dc.gov,202-671-4615
Eastern Ave,NE,Cul De Sac,Sargent Rd,2,Design,2007,30,Active Design,0.18,5,LOCAL,,,,,401154.640570,142829.347680,38.95336524431310,-76.98667911543890,,,,10059,,,
12th St,NE,"Rhode Island Ave, Saratoga",Michigan Ave,16,Design,2007,90,Active Design,1.09,5,MINOR ARTERIAL,2/2/2007 12:00:00 AM,,,The design of this location was advaced due to Brookland Study commitment.,400791.065440,140345.159870,38.93098736806770,-76.99087648182920,,,,10060,,,
C St,SW,3rd St,6th St,2,Design,2007,35,Active Design,0.25,6,LOCAL,,,,,398476.995610,135355.809440,38.88604061808210,-77.01755405328360,Resurfacing,"Upgrading, Reconstruction & Resurfacing of Local Streets in Wrads 5&6",,10063,,,
Otis St,NE,12th St,16th St,4,Design,2007,65,Active Design,0.45,5,LOCAL,3/2/2007 12:00:00 AM,,,"Upgradeing, Reconstruction & Resurfacing of Local Streets in wards 5&6",401125.800290,140759.514560,38.93471963590740,-76.98701523721870,,,,10064,,,
Newton St,NE,12th St,13th St,1,Design,2007,65,Active Design,0.13,5,LOCAL,3/2/2007 12:00:00 AM,,,"Upgradeing, Reconstruction & Resurfacing of Local Streets in wards 5&6",400873.938650,140633.553440,38.93358522675410,-76.98992032104290,,,,10066,,,
Michigan Ave,NE,North Capitol St,7th St,7,Design,2007,65,Active Design,0.86,5,MINOR ARTERIAL,3/2/2007 12:00:00 AM,,,"Upgrading, Reconstruction & Resurfacing of Local Streets in wards 5&6",399733.254210,140245.945890,38.930093933598,-77.003076394748,,,Amal Azza,10067,,,202-671-4646
Wiltberger St,NW,S St,T St,1,Design,2006,95,Active Design,0.10,1/2,LOCAL,7/13/2007 12:00:00 AM,,,"HOWARD THEATER AREA:                                                       Reconstruction project, Other locations are:   7th St., NW, from Fl. to N (Resurfacing)   T St., NW, from 7th to Fl. (Reconstruction)",398189.795740,138551.834330,38.91483100824070,-77.02087272356830,,"Rehabilitation of Howard Theater Area, NW",Dawit Muluneh,10076,H. Brown,,202-671-4600
7th St,NW,N St,"Florida Ave, Georgia Ave",8,Design,2006,95,Active Design,0.62,1/2,PRINCIPAL ARTERIAL,7/13/2007 12:00:00 AM,,,"HOWARD THEATER AREA:                                                       Reconstruction project, Other locations are:   Wiltburger from S St. to T St., NW        T St., NW, from 7th to Fl. ( Reconstruction)",398099.0542,138209.968860,38.91175117745720,-77.02191808060410,,"Rehabilitation of Howard Theater Area, NW",Dawit Muluneh,10077,H. Brown,,202-671-4600
